Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Sweden,"$60,239","$52,300","$51,939","$54,589","$53,792","$51,965","$51,545","$60,020","$61,127","$58,038","$60,756","$52,869","$46,947","$56,153","$53,700","$46,594","$43,437","$42,822","$37,322","$29,899","$27,248","$29,625","$30,941","$30,597","$30,312","$32,999","$30,283","$26,084","$24,425","$32,801","$31,823","$30,594","$25,662","$24,535","$21,793","$17,981","$13,667","$13,099","$12,608","$13,739","$15,586","$17,098","$14,877","$12,621","$11,449","$10,868","$10,117","$8,090","$7,301","$6,027","$5,133","$4,736","$4,234","$3,926","$3,721","$3,454","$3,206","$2,941","$2,657","$2,469","$2,289","$2,114"
Australia,"$59,934","$51,680","$54,875","$57,181","$53,934","$49,882","$56,707","$62,512","$68,157","$68,028","$62,574","$52,088","$42,783","$49,655","$41,001","$36,117","$34,081","$30,514","$23,492","$20,118","$19,527","$21,698","$20,559","$21,346","$23,509","$21,904","$20,358","$18,079","$17,667","$18,604","$18,856","$18,243","$17,828","$14,279","$11,645","$11,385","$11,459","$12,455","$11,538","$12,789","$11,855","$10,212","$9,297","$8,256","$7,778","$7,490","$7,006","$6,484","$4,772","$3,950","$3,496","$3,305","$2,992","$2,724","$2,580","$2,344","$2,281","$2,131","$1,967","$1,855","$1,878","$1,811"
Netherlands,"$58,061","$52,396","$52,476","$53,045","$48,675","$46,039","$45,193","$52,901","$52,199","$50,070","$54,230","$51,000","$52,722","$57,880","$51,799","$44,901","$41,995","$40,437","$35,751","$29,343","$26,897","$26,214","$28,273","$27,886","$26,701","$29,007","$29,258","$24,646","$23,122","$23,904","$21,732","$21,291","$17,398","$17,745","$16,710","$13,784","$9,926","$9,977","$10,680","$11,073","$11,520","$13,792","$12,799","$11,179","$9,167","$7,926","$7,336","$6,441","$5,346","$4,104","$3,379","$2,927","$2,643","$2,185","$1,991","$1,836","$1,708","$1,542","$1,328","$1,241","$1,159","$1,069"
Finland,"$53,983","$49,161","$48,629","$49,989","$46,412","$43,814","$42,802","$50,327","$49,892","$47,708","$51,149","$46,505","$47,481","$53,773","$48,476","$41,223","$39,055","$37,772","$32,928","$26,998","$24,968","$24,346","$26,186","$26,009","$24,692","$25,783","$26,272","$20,301","$17,609","$22,319","$25,485","$28,365","$23,973","$22,048","$18,571","$14,951","$11,398","$10,834","$10,497","$10,938","$10,927","$11,224","$9,332","$7,629","$7,069","$6,740","$6,256","$5,298","$4,173","$3,178","$2,716","$2,466","$2,178","$1,907","$2,034","$2,010","$1,882","$1,708","$1,522","$1,412","$1,327","$1,179"
Austria,"$53,268","$48,589","$50,114","$51,487","$47,429","$45,308","$44,196","$51,786","$50,731","$48,565","$51,442","$46,904","$48,153","$51,920","$46,915","$40,669","$38,417","$36,889","$32,294","$26,528","$24,559","$24,626","$27,183","$27,362","$26,705","$29,809","$30,326","$25,647","$24,082","$24,880","$22,411","$21,681","$17,469","$17,579","$16,393","$13,083","$9,172","$8,991","$9,537","$9,410","$9,385","$10,870","$9,794","$8,205","$6,811","$5,678","$5,286","$4,631","$3,891","$2,924","$2,381","$2,059","$1,825","$1,678","$1,570","$1,487","$1,375","$1,269","$1,167","$1,088","$1,032",$935
Canada,"$52,051","$43,258","$46,329","$46,549","$45,129","$42,316","$43,596","$50,956","$52,635","$52,669","$52,224","$47,562","$40,876","$46,711","$44,660","$40,504","$36,383","$32,144","$28,300","$24,255","$23,822","$24,271","$22,315","$21,025","$21,902","$21,227","$20,614","$19,935","$20,121","$20,880","$21,768","$21,448","$20,716","$18,937","$16,309","$14,461","$14,115","$13,878","$13,425","$12,482","$12,337","$11,171","$10,044","$9,124","$8,919","$8,809","$7,511","$7,033","$5,839","$5,090","$4,520","$4,122","$3,764","$3,463","$3,217","$3,047","$2,770","$2,555","$2,374","$2,269","$2,240","$2,259"
Belgium,"$51,768","$45,189","$46,599","$47,549","$44,198","$42,013","$41,008","$47,764","$46,758","$44,671","$47,411","$44,185","$44,760","$48,303","$44,319","$38,705","$36,810","$35,429","$30,655","$25,006","$23,015","$23,099","$25,253","$25,338","$24,821","$27,490","$28,414","$24,209","$22,284","$23,373","$21,042","$20,600","$16,525","$16,391","$15,136","$12,170","$8,751","$8,457","$8,846","$9,344","$10,623","$12,864","$11,811","$10,290","$8,427","$7,243","$6,701","$5,734","$4,901","$3,832","$3,083","$2,766","$2,458","$2,222","$2,087","$1,958","$1,836","$1,702","$1,535","$1,439","$1,350","$1,274"
Israel,"$51,430","$44,178","$43,951","$42,063","$40,774","$37,330","$35,808","$37,848","$36,499","$32,668","$33,776","$30,780","$27,780","$29,651","$24,953","$21,853","$20,585","$19,911","$18,991","$18,440","$20,316","$21,061","$19,129","$19,427","$19,663","$19,357","$18,143",,,,,,,,,,,,,,,,,,,,,,,,,,"$1,852","$1,648","$1,468","$1,514","$1,429","$1,376","$1,258","$1,095","$1,436","$1,229"
Germany,"$50,802","$46,253","$46,795","$47,974","$44,653","$42,136","$41,103","$48,024","$46,299","$43,856","$46,706","$41,572","$41,650","$45,613","$41,640","$36,354","$34,520","$34,107","$30,310","$25,197","$23,628","$23,695","$26,735","$27,289","$26,964","$30,486","$31,658","$27,077","$25,523","$26,438","$23,358","$22,304","$17,764","$17,931","$16,678","$13,462","$9,430","$9,313","$9,864","$9,914","$10,209","$12,138","$11,281","$9,482","$7,683","$6,635","$6,236","$5,639","$5,047","$3,810","$3,192","$2,761",,,,,,,,,,
Hong-kong,"$49,661","$46,101","$48,356","$48,538","$46,160","$43,734","$42,432","$40,315","$38,404","$36,731","$35,142","$32,550","$30,697","$31,516","$30,594","$28,224","$26,650","$24,928","$23,977","$24,666","$25,230","$25,757","$25,092","$25,809","$27,330","$24,818","$23,497","$22,503","$20,396","$17,976","$15,466","$13,486","$12,098","$10,610","$9,071","$7,435","$6,543","$6,208","$5,595","$6,134","$5,991","$5,700","$4,569","$3,924","$3,429","$2,850","$2,252","$2,145","$1,893","$1,385","$1,106",$960,$826,$714,$723,$686,$677,$630,$566,$488,$437,$429
