Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Greece,"$20,277","$17,647","$19,134","$19,757","$18,582","$17,924","$18,084","$21,617","$21,788","$21,913","$25,484","$26,717","$29,829","$32,128","$28,864","$24,822","$22,560","$21,995","$18,518","$14,178","$12,549","$12,073","$13,250","$13,472","$13,428","$13,749","$12,959","$11,091","$10,402","$11,176","$10,188","$9,600","$7,847","$7,598","$6,565","$5,657","$4,814","$4,853","$5,020","$5,579","$5,380","$5,894","$5,706","$4,695","$3,886","$3,391","$3,153","$2,829","$2,503","$1,900","$1,652","$1,494","$1,324","$1,154","$1,068",$997,$899,$784,$695,$617,$591,$520
Hungary,"$18,773","$16,076","$16,736","$16,427","$14,624","$13,107","$12,721","$14,299","$13,720","$12,989","$14,240","$13,223","$13,082","$15,777","$13,945","$11,493","$11,226","$10,304","$8,421","$6,655","$5,276","$4,624","$4,793","$4,744","$4,596","$4,525","$4,495","$4,173","$3,874","$3,735","$3,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St-kitts-and-nevis,"$18,230","$18,441","$22,048","$20,567","$20,383","$19,542","$18,717","$18,790","$17,393","$16,564","$16,911","$15,889","$15,932","$16,142","$14,430","$13,614","$11,679","$10,943","$10,271","$10,651","$10,283","$9,566","$9,321","$8,867","$8,742","$7,863","$7,450","$7,092","$6,411","$5,951","$5,461","$5,396","$4,771","$4,250","$3,600","$3,151","$2,651","$2,337","$2,045","$2,013","$1,883","$1,585","$1,354","$1,131","$1,013",$682,$754,$711,$546,$518,$441,$363,$348,$315,$353,$299,$276,$269,$254,$246,$244,$242
Poland,"$17,841","$15,742","$15,732","$15,468","$13,865","$12,447","$12,578","$14,271","$13,696","$13,097","$13,880","$12,613","$11,526","$13,996","$11,255","$9,035","$8,022","$6,681","$5,702","$5,207","$4,991","$4,501","$4,398","$4,518","$4,123","$4,147","$3,687","$2,875","$2,497","$2,459","$2,236","$1,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,"$17,399","$14,132","$15,312","$15,228","$13,629","$12,528","$11,933","$13,762","$13,838","$13,402","$14,757","$14,068","$14,653","$16,417","$14,046","$11,797","$10,622","$9,747","$8,130","$6,293","$5,413","$4,888","$5,247","$5,691","$5,312","$5,283","$4,917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,"$17,034","$16,319","$18,480","$17,783","$17,404","$16,910","$16,559","$16,489","$16,452","$16,250","$16,459","$16,056","$15,886","$17,092","$16,771","$15,199","$13,823","$12,513","$11,699","$11,362","$11,209","$11,268","$10,914","$10,459","$9,316","$8,851","$8,336","$8,122","$7,820","$7,444","$7,715","$7,711","$7,717","$7,000","$6,606","$6,020","$5,500","$5,272","$4,851","$4,581","$4,399","$4,011","$2,667","$2,210","$1,989","$1,761","$1,634","$1,275",,,,,,,,,,,,,,
Uruguay,"$17,021","$15,419","$17,688","$18,704","$18,691","$16,716","$15,614","$16,832","$16,974","$15,172","$14,237","$11,992","$9,452","$9,091","$7,027","$5,888","$5,227","$4,121","$3,624","$4,091","$6,284","$6,875","$7,250","$7,714","$7,330","$6,318","$5,985","$5,459","$4,721","$4,083","$3,578","$2,990","$2,732","$2,677","$2,416","$1,940","$1,571","$1,621","$1,716","$3,107","$3,765","$3,486","$2,480","$1,707","$1,440","$1,291","$1,250","$1,448","$1,405",$776,$996,$761,$717,$574,$581,$664,$702,$741,$584,$657,$602,$489
Chile,"$16,503","$13,221","$14,699","$15,772","$14,963","$13,691","$13,495","$14,607","$15,778","$15,355","$14,578","$12,724","$10,151","$10,753","$10,439","$9,407","$7,558","$6,187","$4,827","$4,482","$4,609","$5,100","$4,986","$5,474","$5,798","$5,386","$5,107","$4,024","$3,535","$3,350","$2,804","$2,495","$2,289","$2,027","$1,760","$1,518","$1,444","$1,625","$1,709","$2,157","$2,980","$2,543","$1,937","$1,442","$1,278",$961,$720,"$1,554","$1,640","$1,173","$1,095",$933,$870,$757,$753,$773,$670,$678,$655,$639,$555,$505
Oman,"$16,439","$14,485","$17,701","$18,947","$17,329","$16,773","$18,445","$23,018","$23,889","$24,988","$23,837","$21,369","$16,824","$22,140","$15,838","$14,421","$12,377","$10,126","$9,066","$8,627","$8,476","$8,601","$6,915","$6,216","$7,040","$6,831","$6,262","$6,013","$6,029","$6,279","$5,989","$6,448","$5,383","$4,997","$4,822","$4,691","$6,677","$6,164","$5,828","$5,856","$5,947","$5,182","$3,419","$2,653","$2,803","$2,761","$2,377","$1,955",$599,$473,$402,$354,$342,$278,$162,$106,$101,,,,,
Trinidad-and-tobago,"$15,243","$15,286","$17,123","$17,139","$16,748","$16,241","$18,384","$20,291","$20,163","$19,171","$19,034","$16,683","$14,514","$21,204","$16,540","$14,103","$12,327","$10,294","$8,808","$7,053","$6,940","$6,435","$5,387","$4,790","$4,554","$4,580","$4,249","$3,959","$3,755","$4,398","$4,319","$4,150","$3,564","$3,734","$4,016","$4,051","$6,303","$6,716","$6,822","$7,268","$6,345","$5,749","$4,307","$3,381","$3,020","$2,439","$2,416","$2,049","$1,333","$1,119",$938,$869,$831,$815,$824,$787,$808,$789,$760,$704,$676,$632
Antigua-and-barbuda,"$14,901","$13,993","$17,377","$16,680","$15,384","$15,199","$14,285","$13,502","$12,911","$13,273","$12,747","$13,049","$14,161","$16,044","$15,623","$13,996","$12,558","$11,447","$10,798","$10,401","$10,367","$10,872","$10,261","$9,941","$9,492","$9,031","$8,406","$8,771","$8,136","$7,746","$7,602","$7,348","$7,077","$6,455","$5,464","$4,703","$3,899","$3,373","$2,948","$2,661","$2,393","$2,125","$1,761","$1,417","$1,247",,,,,,,,,,,,,,,,,
Romania,"$14,862","$12,957","$12,899","$12,399","$10,807","$9,549","$8,969","$10,044","$9,548","$8,507","$9,099","$8,214","$8,548","$10,435","$8,360","$5,757","$4,618","$3,495","$2,679","$2,120","$1,825","$1,660","$1,600","$1,852","$1,577","$1,633","$1,650","$1,323","$1,158","$1,102","$1,261","$1,681","$1,818","$1,770","$1,674",,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,"$14,516","$12,510","$15,774","$15,545","$15,146","$14,344","$13,630","$12,796","$11,889","$10,722","$9,358","$8,082","$7,576","$7,154","$6,166","$5,349","$4,917","$4,592","$4,267","$4,126","$4,046","$4,060","$4,083","$3,975","$3,741","$3,530","$3,495","$3,489","$3,340","$3,122","$2,804","$2,604","$2,446","$2,492","$2,945","$2,997","$2,948","$2,849","$2,792","$2,782","$2,578","$2,332","$1,918","$1,722","$1,490","$1,445","$1,395","$1,288","$1,158","$1,041",$975,$889,$827,$776,$742,$686,$648,$608,$583,$542,$513,$474
Seychelles,"$13,307","$12,194","$17,252","$16,911","$16,417","$15,740","$15,158","$15,188","$14,765","$11,998","$12,189","$10,805","$9,707","$11,123","$12,155","$12,014","$11,093","$10,177","$8,525","$8,331","$7,663","$7,579","$7,748","$7,716","$7,281","$6,583","$6,749","$6,556","$6,559","$6,128","$5,315","$5,303","$4,407","$4,128","$3,639","$3,166","$2,589","$2,338","$2,280","$2,296","$2,419","$2,329","$2,030","$1,377","$1,044",$814,$806,$745,$649,$547,$402,$344,$314,$314,$333,$338,$328,$332,$308,$287,$270,$288
China,"$12,556","$10,409","$10,144","$9,905","$8,817","$8,094","$8,016","$7,636","$7,020","$6,301","$5,614","$4,550","$3,832","$3,468","$2,694","$2,099","$1,753","$1,509","$1,289","$1,149","$1,053",$959,$873,$829,$782,$709,$610,$473,$377,$366,$333,$318,$311,$284,$252,$282,$294,$251,$225,$203,$197,$195,$184,$156,$185,$165,$178,$160,$157,$132,$119,$113,$100,$91,$97,$104,$98,$85,$74,$71,$76,$90
Costa-rica,"$12,509","$12,202","$12,762","$12,485","$12,226","$12,011","$11,643","$10,847","$10,744","$10,075","$9,230","$8,227","$6,801","$6,901","$6,104","$5,227","$4,676","$4,405","$4,148","$4,043","$3,960","$3,789","$3,669","$3,597","$3,392","$3,215","$3,266","$3,032","$2,842","$2,606","$2,247","$1,831","$1,728","$1,559","$1,571","$1,572","$1,432","$1,374","$1,214","$1,033","$1,069","$2,022","$1,735","$1,556","$1,393","$1,123",$936,$816,$767,$637,$568,$533,$475,$443,$412,$393,$372,$352,$344,$334,$355,$381
Nauru,"$12,252","$10,580","$11,030","$11,615","$10,339","$9,521","$8,341","$10,171","$9,648","$9,563","$6,560","$4,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,"$12,173","$10,162","$11,536","$11,287","$10,720","$8,705","$9,313","$14,096","$15,975","$15,421","$14,311","$10,675","$8,563","$11,635","$9,101","$6,920","$5,323","$4,102","$2,975","$2,378","$2,100","$1,772","$1,331","$1,835","$2,738","$2,644","$2,666","$2,662","$2,931","$3,099","$3,490","$3,493","$3,429","$3,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,"$11,635","$10,079","$9,879","$9,447","$8,366","$7,569","$7,075","$7,902","$7,682","$7,432","$7,849","$6,853","$6,988","$7,266","$5,885","$4,523","$3,900","$3,390","$2,719","$2,093","$1,771","$1,621","$1,660","$1,820","$1,361","$1,470","$2,258","$1,148","$1,278","$1,212","$1,268","$2,367","$2,477","$2,511","$3,132","$2,260","$1,915","$1,964","$1,853","$2,169","$2,235","$2,239",,,,,,,,,,,,,,,,,,,,
Malaysia,"$11,371","$10,412","$11,433","$11,380","$10,259","$9,818","$9,955","$11,319","$10,970","$10,817","$10,399","$9,041","$7,292","$8,475","$7,243","$6,209","$5,587","$4,952","$4,462","$4,166","$3,913","$4,044","$3,493","$3,263","$4,638","$4,799","$4,330","$3,728","$3,433","$3,114","$2,654","$2,442","$2,216","$2,072","$1,948","$1,729","$2,000","$2,234","$2,048","$1,852","$1,769","$1,775","$1,576","$1,247","$1,027",$886,$765,$800,$661,$445,$384,$358,$347,$323,$317,$321,$310,$289,$280,$230,$226,$235
Argentina,"$10,729","$8,586","$10,076","$11,795","$14,613","$12,790","$13,789","$12,335","$13,080","$13,083","$12,849","$10,386","$8,225","$9,021","$7,245","$5,919","$5,110","$4,278","$3,350","$2,593","$7,208","$7,708","$7,775","$8,290","$8,213","$7,721","$7,409","$7,483","$6,969","$6,824","$5,735","$4,333","$2,384","$3,985","$3,563","$3,614","$2,926","$2,660","$3,553","$2,928","$2,776","$2,759","$2,521","$2,146","$2,130","$1,948","$2,027","$2,845","$2,097","$1,409","$1,372","$1,323","$1,329","$1,141","$1,063","$1,273","$1,279","$1,173",$850,"$1,156",,
Kazakhstan,"$10,041","$9,122","$9,813","$9,813","$9,248","$7,715","$10,511","$12,807","$13,891","$12,387","$11,634","$9,070","$7,165","$8,458","$6,771","$5,292","$3,771","$2,874","$2,068","$1,658","$1,491","$1,229","$1,130","$1,469","$1,446","$1,350","$1,288","$1,316","$1,429","$1,516","$1,515","$1,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,"$9,929","$9,273","$10,834","$10,467","$10,153","$9,628","$9,097","$8,370","$7,790","$7,444","$7,292","$7,258","$7,291","$7,832","$7,213","$6,658","$6,646","$5,742","$5,683","$5,214","$5,041","$5,057","$4,706","$4,371","$3,861","$3,633","$3,412","$3,273","$3,154","$3,192","$3,118","$2,887","$2,758","$2,409","$2,163","$1,872","$1,678","$1,478","$1,373","$1,347","$1,276","$1,246","$1,154",$991,$792,,,,,,,,,,,,,,,,,
Mexico,"$9,926","$8,432","$9,950","$9,687","$9,288","$8,745","$9,617","$10,929","$10,725","$10,242","$10,203","$9,271","$8,003","$10,017","$9,643","$9,068","$8,278","$7,484","$7,075","$7,593","$7,545","$7,158","$6,157","$5,481","$5,289","$4,412","$3,928","$5,854","$5,650","$4,171","$3,662","$3,112","$2,688","$2,248","$1,863","$1,734","$2,569","$2,478","$2,148","$2,598","$3,803","$3,027","$2,035","$1,589","$1,301","$1,454","$1,476","$1,242",$981,$826,$739,$690,$650,$606,$566,$534,$495,$469,$409,$378,$363,$345
Turkey,"$9,587","$8,536","$9,122","$9,454","$10,590","$10,895","$11,006","$12,158","$12,615","$11,796","$11,421","$10,743","$9,103","$10,941","$9,792","$8,102","$7,456","$6,102","$4,760","$3,688","$3,143","$4,337","$4,116","$4,500","$3,144","$3,054","$2,898","$2,270","$3,180","$2,842","$2,736","$2,794","$2,022","$1,745","$1,706","$1,511","$1,368","$1,247","$1,310","$1,402","$1,579","$1,565","$2,078","$1,548","$1,428","$1,272","$1,140",$930,$684,$556,$456,$490,$572,$526,$482,$445,$386,$370,$351,$309,$284,$509
St-lucia,"$9,571","$8,805","$11,591","$11,354","$11,035","$10,362","$10,094","$9,843","$9,379","$9,086","$8,984","$8,540","$8,138","$8,457","$7,970","$7,669","$6,949","$6,592","$6,151","$5,646","$5,643","$5,950","$5,948","$5,734","$5,340","$5,300","$5,195","$4,919","$4,775","$4,755","$4,384","$4,200","$3,584","$3,221","$2,870","$2,647","$2,253","$2,023","$1,608","$1,515","$1,628","$1,446",,,,,,,,,,,,,,,,,,,,
Guyana,"$9,375","$6,956","$6,610","$6,146","$6,125","$5,811","$5,577","$5,407","$5,489","$5,379","$4,909","$4,581","$4,234","$4,051","$3,658","$3,189","$1,106","$1,056",$997,$975,$956,$954,$927,$952,$988,$927,$817,$713,$602,$499,$468,$534,$509,$551,$468,$660,$589,$565,$628,$617,$730,$773,$683,$658,$590,$603,$663,$588,$421,$395,$395,$380,$358,$335,$370,$344,$327,$305,$282,$322,$315,$298
Montenegro,"$9,367","$7,695","$8,910","$8,850","$7,803","$7,033","$6,517","$7,388","$7,189","$6,587","$7,329","$6,688","$6,727","$7,368","$5,976","$4,426","$3,675","$3,380","$2,789","$2,107","$1,910","$1,627",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,"$9,215","$7,731","$7,417","$7,252","$6,293","$5,765","$5,589","$6,600","$6,755","$6,016","$6,809","$5,735","$6,169","$7,101","$5,848","$4,383","$3,720","$3,503","$3,005","$2,284","$1,727",$915,"$2,571","$2,571","$3,380","$2,864","$2,207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,"$8,995","$6,924","$10,562","$10,279","$9,577","$9,209","$9,033","$8,499","$7,928","$7,266","$7,291","$7,077","$6,637","$6,614","$5,574","$4,810","$3,640","$3,941","$3,476","$3,049","$3,039","$2,235","$2,154","$2,012","$1,926","$1,738","$1,570","$1,432","$1,329","$1,206","$1,064",$964,$875,$803,$696,$723,$671,$599,$328,$282,$273,$268,,,,,,,,,,,,,,,,,,,,
Mauritius,"$8,812","$8,633","$11,097","$11,208","$10,485","$9,682","$9,260","$10,154","$9,637","$9,291","$9,197","$8,000","$7,318","$8,030","$6,575","$5,696","$5,283","$5,388","$4,794","$4,019","$3,857","$3,929","$3,696","$3,593","$3,647","$3,899","$3,600","$3,197","$2,974","$2,973","$2,669","$2,506","$2,076","$2,046","$1,815","$1,423","$1,054","$1,028","$1,088","$1,087","$1,165","$1,172","$1,275","$1,088",$894,$777,,,,,,,,,,,,,,,,
Dominican-republic,"$8,604","$7,268","$8,282","$8,051","$7,609","$7,281","$6,922","$6,609","$6,238","$6,110","$5,913","$5,555","$5,039","$5,088","$4,708","$4,109","$3,933","$2,487","$2,418","$3,110","$2,977","$2,869","$2,653","$2,638","$2,476","$2,294","$2,128","$1,906","$1,733","$1,567","$1,351",$992,$956,$783,$866,$928,$780,"$1,831","$1,487","$1,363","$1,274","$1,165",$969,$855,$848,$749,$700,$583,$480,$418,$360,$330,$281,$254,$251,$246,$229,$273,$259,$234,$192,$204
Equatorial-guinea,"$8,462","$7,198","$8,381","$10,006","$9,668","$9,250","$11,283","$19,394","$20,391","$21,711","$21,642","$17,289","$16,668","$22,943","$15,908","$12,857","$10,963","$6,152","$3,619","$2,744","$2,313","$1,726","$1,068",$664,$825,$451,$286,$210,$294,$301,$256,$267,$217,$255,$244,$207,$176,$152,$144,$156,$139,$203,,,$429,$418,$408,$354,$292,$226,$217,$218,$221,$225,$248,$244,$234,$47,$41,$35,,
Gabon,"$8,017","$6,882","$7,767","$7,959","$7,230","$6,984","$7,385","$9,663","$9,684","$9,814","$10,810","$8,849","$7,721","$10,254","$8,458","$7,221","$6,891","$5,740","$4,933","$4,141","$3,993","$4,136","$3,889","$3,832","$4,667","$5,116","$4,571","$3,964","$4,252","$5,578","$5,537","$6,269","$4,532","$4,268","$3,755","$4,004","$4,038","$4,424","$4,325","$4,736","$5,186","$5,892","$4,275","$3,453","$4,154","$4,550","$3,332","$2,433","$1,160",$704,$636,$549,$551,$520,$490,$453,$425,$411,$298,$358,$331,$282
St-vincent-and-the-grenadines,"$7,997","$7,861","$8,230","$8,024","$7,718","$7,439","$7,207","$7,081","$7,041","$6,732","$6,590","$6,655","$6,596","$6,759","$6,576","$5,925","$5,339","$5,067","$4,700","$4,512","$4,283","$3,970","$3,626","$3,466","$3,223","$3,070","$2,925","$2,679","$2,650","$2,575","$2,365","$2,236","$2,006","$1,884","$1,658","$1,529","$1,394","$1,301","$1,187","$1,113","$1,006",$819,$713,$617,$505,$339,$347,$348,$322,$298,$219,$204,$186,$173,$180,$185,$176,$173,$163,$174,$170,$161
Dominica,"$7,560","$7,004","$8,516","$7,745","$7,299","$8,081","$7,597","$7,317","$7,016","$6,849","$7,065","$6,967","$6,903","$6,469","$5,952","$5,518","$5,161","$5,217","$4,897","$4,771","$4,883","$4,788","$4,751","$4,594","$4,292","$4,121","$3,861","$3,721","$3,467","$3,318","$3,123","$2,860","$2,618","$2,403","$2,114","$1,864","$1,632","$1,478","$1,325","$1,194","$1,090",$967,$734,$769,$625,,,,,,,,,,,,,,,,,
Brazil,"$7,519","$6,815","$8,876","$9,151","$9,929","$8,710","$8,814","$12,113","$12,300","$12,370","$13,245","$11,286","$8,598","$8,831","$7,348","$5,886","$4,790","$3,637","$3,070","$2,839","$3,160","$3,750","$3,480","$5,087","$5,282","$5,166","$4,748","$3,295","$2,348","$2,128","$2,259","$2,622","$2,372","$1,802","$1,686","$1,563","$1,302","$1,423","$1,465","$2,145","$2,088","$1,967","$1,878","$1,740","$1,569","$1,395","$1,205","$1,049",$817,$585,$501,$445,$401,$375,$353,$330,$269,$259,$296,$251,$232,$236
Botswana,"$7,348","$6,349","$7,247","$7,504","$7,296","$6,983","$6,403","$7,495","$7,225","$7,051","$7,617","$6,435","$5,256","$5,714","$5,833","$5,522","$5,513","$5,074","$4,331","$3,191","$3,278","$3,522","$3,406","$3,040","$3,259","$3,222","$3,220","$2,970","$2,973","$3,041","$2,973","$2,946","$2,478","$2,204","$1,702","$1,254","$1,042","$1,203","$1,177","$1,054","$1,154","$1,182",$948,$709,$564,$483,$479,$428,$354,$247,$197,$153,$127,$111,$100,$90,$82,$76,$71,$68,$64,$60
Belarus,"$7,304","$6,555","$6,838","$6,360","$5,786","$5,040","$5,967","$8,341","$7,998","$6,953","$6,527","$6,034","$5,353","$6,377","$4,736","$3,847","$3,126","$2,379","$1,820","$1,479","$1,244","$1,276","$1,211","$1,511","$1,396","$1,453","$1,371","$1,460","$1,590","$1,668","$1,766","$2,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,"$7,233","$7,159","$7,814","$7,299","$6,594","$5,993","$5,840","$5,952","$6,168","$5,861","$5,492","$5,076","$4,213","$4,380","$3,973","$3,370","$2,894","$2,660","$2,359","$2,096","$1,893","$2,008","$2,033","$1,846","$2,468","$3,044","$2,847","$2,491","$2,209","$1,928","$1,716","$1,509","$1,295","$1,123",$937,$813,$748,$818,$798,$743,$721,$683,$590,$529,$445,$392,$352,$332,$270,$209,$194,$192,$187,$175,$167,$161,$138,$126,$118,$114,$107,$101
South-africa,"$6,994","$5,656","$6,625","$7,005","$6,691","$5,757","$6,260","$6,989","$7,467","$8,222","$8,811","$8,149","$6,533","$6,351","$6,781","$6,267","$6,033","$5,409","$4,217","$2,797","$2,972","$3,375","$3,417","$3,502","$3,931","$3,864","$4,145","$3,784","$3,714","$3,800","$3,585","$3,425","$3,007","$2,962","$2,815","$2,190","$1,973","$2,665","$3,104","$2,849","$3,175","$3,131","$2,265","$1,902","$1,712","$1,593","$1,703","$1,686","$1,391","$1,053","$1,033",$961,$896,$818,$775,$715,$674,$633,$589,$546,$526,$512
Bosnia,"$6,916","$6,082","$6,120","$6,070","$5,394","$4,995","$4,730","$5,330","$5,130","$4,777","$5,093","$4,636","$4,715","$5,091","$4,193","$3,417","$2,981","$2,698","$2,259","$1,790","$1,545","$1,484","$1,252","$1,102",$983,$740,$487,$319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-macedonia,"$6,721","$5,846","$6,070","$6,109","$5,450","$5,150","$4,862","$5,496","$5,241","$4,728","$5,098","$4,578","$4,585","$4,841","$4,079","$3,363","$3,073","$2,796","$2,440","$1,989","$1,823","$1,862","$1,915","$1,876","$1,960","$2,333","$2,373","$1,796","$1,352","$1,225","$2,478","$2,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,"$6,692","$6,117","$7,023","$6,958","$6,711","$6,205","$6,229","$6,673","$6,757","$6,529","$5,869","$5,082","$4,196","$4,221","$3,606","$3,154","$2,729","$2,417","$2,146","$2,021","$1,941","$1,956","$1,924","$2,163","$2,306","$2,232","$2,194","$1,882","$1,488","$1,566","$1,525","$1,197","$1,041",$730,"$1,001",$754,$837,$910,$918,"$1,182","$1,205","$1,033",$931,$750,$899,"$1,007","$1,094",$923,$752,$646,$599,$552,$490,$450,$501,$508,$441,$383,$326,$306,$278,$253
Albania,"$6,494","$5,332","$5,396","$5,288","$4,531","$4,124","$3,953","$4,579","$4,413","$4,248","$4,437","$4,094","$4,114","$4,371","$3,595","$2,973","$2,674","$2,374","$1,846","$1,425","$1,282","$1,127","$1,033",$814,$717,"$1,010",$751,$586,$367,$201,$337,$617,$698,$653,$675,$694,$640,$639,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,"$6,131","$5,312","$6,419","$6,730","$6,377","$5,871","$6,176","$8,114","$8,218","$8,050","$7,335","$6,337","$5,193","$5,473","$4,714","$3,741","$3,414","$2,783","$2,281","$2,397","$2,440","$2,520","$2,210","$2,566","$2,827","$2,621","$2,540","$2,285","$1,894","$1,697","$1,457","$1,445","$1,218","$1,232","$1,166","$1,143","$1,165","$1,304","$1,349","$1,387","$1,323","$1,242","$1,062",$904,$774,$623,$544,$526,$448,$385,$355,$335,$308,$292,$294,$282,$308,$329,$274,$290,$274,$251
Libya,"$6,018","$7,614","$10,218","$11,482","$10,205","$7,688","$7,590","$9,018","$11,922","$14,722","$7,710","$12,163","$9,914","$14,311","$11,387","$10,208","$8,163","$5,801","$4,673","$3,703","$6,266","$7,143","$6,819","$5,244","$5,998","$5,537","$5,162","$5,893","$6,447","$7,285","$7,041","$6,514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,"$5,935","$5,628","$6,223","$6,296","$6,214","$6,060","$6,124","$6,377","$6,056","$5,682","$5,201","$4,634","$4,232","$4,249","$3,568","$3,329","$3,002","$2,691","$2,426","$2,172","$1,895","$1,445","$1,579","$2,294","$2,356","$2,156","$2,133","$2,026","$1,728","$1,689","$1,622","$1,490","$1,390","$1,338","$1,464","$1,648","$1,892","$1,912","$1,989","$2,370","$2,661","$2,238","$1,821","$1,572","$1,493","$1,265","$1,105",$970,$588,$496,$441,$472,$528,$451,$459,$450,$455,$441,$369,$316,$375,$455
Paraguay,"$5,400","$4,968","$5,384","$5,783","$5,679","$5,325","$5,414","$6,118","$5,937","$5,185","$5,326","$4,342","$3,627","$4,048","$2,977","$2,271","$1,844","$1,679","$1,365","$1,301","$1,565","$1,664","$1,694","$1,813","$1,994","$2,003","$1,897","$1,687","$1,591","$1,610","$1,611","$1,376","$1,157","$1,063","$1,020",$984,$893,"$1,261","$1,636","$1,609","$1,718","$1,398","$1,104",$850,$713,$594,$541,$490,$374,$296,$262,$240,$231,$220,$215,$209,$204,,,,,
Azerbaijan,"$5,384","$4,230","$4,806","$4,740","$4,147","$3,881","$5,500","$7,891","$7,876","$7,496","$7,190","$5,844","$4,950","$5,575","$3,851","$2,473","$1,578","$1,045",$884,$763,$704,$655,$574,$562,$506,$409,$315,$157,$209,$60,"$1,209","$1,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,"$5,315","$4,526","$4,492","$4,231","$3,510","$2,880","$2,732","$3,329","$3,322","$3,046","$2,942","$2,438","$1,899","$2,111","$1,532","$1,183","$1,035",$897,$683,$571,$508,$441,$400,$579,$657,$575,$594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,"$5,291","$4,669","$4,652","$4,156","$3,979","$3,706","$3,317","$3,532","$3,560","$3,662","$3,689","$3,051","$2,696","$3,090","$2,784","$2,382","$2,292","$2,310","$2,001","$1,756","$1,473","$1,605","$1,465","$1,367","$1,362","$1,324","$1,186","$1,176","$1,048","$1,069","$1,039",$990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,"$5,086","$5,103","$6,176","$6,317","$6,101","$5,651","$5,391","$5,606","$4,841","$4,592","$4,371","$3,653","$3,363","$4,168","$4,040","$3,716","$3,628","$3,311","$2,819","$2,249","$2,030","$2,069","$2,402","$2,066","$2,637","$2,714","$2,541","$2,385","$2,167","$2,058","$1,882","$1,835","$1,632","$1,535","$1,632","$1,795","$1,603","$1,682","$1,638","$1,787","$1,898","$1,893","$1,641","$1,361","$1,203","$1,182","$1,187",$988,$769,$583,$466,$422,$357,$335,$333,$316,$317,$311,$297,$291,$287,$285
Iraq,"$5,048","$4,584","$5,943","$5,916","$4,985","$4,551","$4,688","$6,638","$7,077","$6,836","$6,045","$4,657","$3,854","$4,637","$3,183","$2,373","$1,856","$1,392",$855,"$1,321","$1,494","$2,058","$1,617",$932,$969,$502,$640,$204,$54,$30,$23,"$10,357","$3,874","$3,773","$3,492","$2,971","$3,113","$3,090","$2,748","$2,937","$2,693","$3,850","$2,852","$1,848","$1,592","$1,471","$1,152","$1,018",$469,$388,$377,$331,$314,$313,,,,$288,$251,$255,$245,$231
Georgia,"$5,042","$4,256","$4,696","$4,722","$4,357","$4,062","$4,014","$4,739","$4,624","$4,422","$4,022","$3,233","$2,823","$3,325","$2,635","$1,996","$1,643","$1,305","$1,010",$854,$802,$750,$674,$852,$807,$689,$578,$520,$550,$757,"$1,315","$1,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,"$5,026","$4,603","$4,639","$4,478","$4,454","$4,173","$3,995","$3,780","$3,523","$3,355","$3,228","$2,853","$2,652","$2,802","$2,491","$2,251","$2,069","$1,859","$1,738","$1,683","$1,550","$1,664","$1,620","$1,756","$1,649","$1,488","$1,425","$1,293","$1,164","$1,094","$1,012",$845,$955,$915,$850,$892,"$1,233","$1,235","$1,213","$1,200","$1,217","$1,143","$1,027",$925,$855,$696,$595,$527,$439,$367,$355,$349,$322,$311,$288,$283,$279,$280,$280,$261,$253,$253
Kosovo,"$4,987","$4,311","$4,416","$4,384","$4,009","$3,760","$3,521","$3,903","$3,705","$3,411","$3,541","$3,010","$2,848","$2,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
